bytes_in,bytes_out,creation_date ,creation_time,end_date,end_time,src_ip,src_ip_country_code,event_date,event_time
5602,12990,2024-04-25,23:00,2024-04-25,23:10,147.161.161.82,AE,2024-04-25,23:00
30912,18186,2024-04-25,23:00,2024-04-25,23:10,165.225.33.6,US,2024-04-25,23:00
28506,13468,2024-04-25,23:00,2024-04-25,23:10,165.225.212.255,CA,2024-04-25,23:00
30546,14278,2024-04-25,23:00,2024-04-25,23:10,136.226.64.114,US,2024-04-25,23:00
6526,13892,2024-04-25,23:00,2024-04-25,23:10,165.225.240.79,NL,2024-04-25,23:00
3906,3488,2024-04-25,23:00,2024-04-25,23:10,136.226.77.103,CA,2024-04-25,23:00
17748,29208,2024-04-25,23:00,2024-04-25,23:10,165.225.26.101,DE,2024-04-25,23:00
4767917,291520,2024-04-25,23:00,2024-04-25,23:10,155.91.45.242,US,2024-04-25,23:00
10538,15514,2024-04-25,23:00,2024-04-25,23:10,165.225.209.4,CA,2024-04-25,23:00
9656,6380,2024-04-25,23:00,2024-04-25,23:10,147.161.131.1,AT,2024-04-25,23:00
57208,32874,2024-04-25,23:10,2024-04-25,23:20,165.225.33.6,US,2024-04-25,23:10
18162,30492,2024-04-25,23:10,2024-04-25,23:20,136.226.67.101,US,2024-04-25,23:10
28056,4832,2024-04-25,23:10,2024-04-25,23:20,165.225.212.255,CA,2024-04-25,23:10
73752,18924,2024-04-25,23:10,2024-04-25,23:20,136.226.64.114,US,2024-04-25,23:10
4080,11282,2024-04-25,23:10,2024-04-25,23:20,94.188.248.74,IL,2024-04-25,23:10
1968903,38773,2024-04-25,23:10,2024-04-25,23:20,165.225.240.79,NL,2024-04-25,23:10
6958,12854,2024-04-25,23:10,2024-04-25,23:20,136.226.77.103,CA,2024-04-25,23:10
8310,6276,2024-04-25,23:10,2024-04-25,23:20,165.225.26.101,DE,2024-04-25,23:10
4804723,291088,2024-04-25,23:10,2024-04-25,23:20,155.91.45.242,US,2024-04-25,23:10
11820,24620,2024-04-25,23:10,2024-04-25,23:20,165.225.209.4,CA,2024-04-25,23:10
8206,6068,2024-04-25,23:10,2024-04-25,23:20,147.161.131.1,AT,2024-04-25,23:10
29356,17408,2024-04-25,23:20,2024-04-25,23:30,165.225.33.6,US,2024-04-25,23:20
26178,33801,2024-04-25,23:20,2024-04-25,23:30,136.226.67.101,US,2024-04-25,23:20
29308,15652,2024-04-25,23:20,2024-04-25,23:30,165.225.213.7,CA,2024-04-25,23:20
60068,12628,2024-04-25,23:20,2024-04-25,23:30,136.226.64.114,US,2024-04-25,23:20
4043,7629,2024-04-25,23:20,2024-04-25,23:30,165.225.240.79,NL,2024-04-25,23:20
3102,11038,2024-04-25,23:20,2024-04-25,23:30,165.225.8.79,US,2024-04-25,23:20
8310,6070,2024-04-25,23:20,2024-04-25,23:30,165.225.26.101,DE,2024-04-25,23:20
5528,12010,2024-04-25,23:20,2024-04-25,23:30,165.225.209.4,CA,2024-04-25,23:20
4926,11570,2024-04-25,23:20,2024-04-25,23:30,147.161.131.1,AT,2024-04-25,23:20
7724,6288,2024-04-25,23:20,2024-04-25,23:30,136.226.80.97,US,2024-04-25,23:20
80,528,2024-04-25,23:20,2024-04-25,23:30,192.241.230.19,US,2024-04-25,23:20
23048,24124,2024-04-25,23:30,2024-04-25,23:40,136.226.67.101,US,2024-04-25,23:30
28444,13468,2024-04-25,23:30,2024-04-25,23:40,165.225.212.255,CA,2024-04-25,23:30
5824,11568,2024-04-25,23:30,2024-04-25,23:40,136.226.77.103,CA,2024-04-25,23:30
10474,23244,2024-04-25,23:30,2024-04-25,23:40,165.225.26.101,DE,2024-04-25,23:30
4190330,283456,2024-04-25,23:30,2024-04-25,23:40,155.91.45.242,US,2024-04-25,23:30
5080,11512,2024-04-25,23:30,2024-04-25,23:40,165.225.209.4,CA,2024-04-25,23:30
4220,11672,2024-04-25,23:30,2024-04-25,23:40,136.226.80.97,US,2024-04-25,23:30
952,668,2024-04-25,23:30,2024-04-25,23:40,192.241.230.19,US,2024-04-25,23:30
36745,28952,2024-04-25,23:40,2024-04-25,23:50,165.225.33.6,US,2024-04-25,23:40
12068,25589,2024-04-25,23:40,2024-04-25,23:50,136.226.67.101,US,2024-04-25,23:40
57462,20222,2024-04-25,23:40,2024-04-25,23:50,165.225.212.255,CA,2024-04-25,23:40
2015975,79990,2024-04-25,23:40,2024-04-25,23:50,165.225.240.79,NL,2024-04-25,23:40
4064,11384,2024-04-25,23:40,2024-04-25,23:50,94.188.248.74,IL,2024-04-25,23:40
33268,9986,2024-04-25,23:40,2024-04-25,23:50,136.226.77.103,CA,2024-04-25,23:40
7424,14656,2024-04-25,23:40,2024-04-25,23:50,165.225.26.101,DE,2024-04-25,23:40
4758826,289956,2024-04-25,23:40,2024-04-25,23:50,155.91.45.242,US,2024-04-25,23:40
17736,36370,2024-04-25,23:40,2024-04-25,23:50,165.225.209.4,CA,2024-04-25,23:40
60686,35910,2024-04-25,23:50,2024-04-26,0:00,165.225.33.6,US,2024-04-25,23:50
21698,21218,2024-04-25,23:50,2024-04-26,0:00,136.226.67.101,US,2024-04-25,23:50
28296,7230,2024-04-25,23:50,2024-04-26,0:00,165.225.213.7,CA,2024-04-25,23:50
4721,8322,2024-04-25,23:50,2024-04-26,0:00,165.225.240.79,NL,2024-04-25,23:50
9968,6646,2024-04-25,23:50,2024-04-26,0:00,165.225.26.101,DE,2024-04-25,23:50
4791678,291275,2024-04-25,23:50,2024-04-26,0:00,155.91.45.242,US,2024-04-25,23:50
